param_type,width_multiplier,step,rng_seed,layers.0,layers.1,logits
muP_3,2,10,193540,0.012900795,0.01078873,0.0240594
muP_3,2,100,193540,0.12292976,0.102825105,0.23424299
muP_3,2,1,602244,0.0010073769,0.00078203354,0.0017404705
muP_3,2,10,602244,0.010152452,0.007870991,0.017469719
muP_3,2,100,602244,0.1106838,0.08420158,0.18227449
muP_3,2,1,766957,0.00096419285,0.0007974935,0.002187334
muP_3,2,10,766957,0.0096139405,0.007961929,0.021866173
muP_3,2,100,766957,0.09304628,0.078058206,0.21793458
muP_3,2,1,727321,0.0012076785,0.0011592238,0.0024480894
muP_3,2,10,727321,0.012096897,0.011587366,0.024508301
muP_3,2,100,727321,0.12615363,0.116056256,0.25084645
muP_3,2,1,652854,0.0011355019,0.0010705945,0.0024885982
muP_3,2,10,652854,0.011348393,0.010698243,0.024867913
muP_3,2,100,652854,0.11424677,0.10690977,0.24816091
muP_3,2,1,277072,0.00076390046,0.00058167765,0.0017662346
muP_3,2,10,277072,0.0076360744,0.0058077117,0.017651469
muP_3,2,100,277072,0.07699219,0.05772552,0.17626628
muP_3,2,1,995542,0.0012417274,0.0010002255,0.0021814406
muP_3,2,10,995542,0.01244891,0.01001387,0.021844298
muP_3,2,100,995542,0.12724562,0.100442864,0.22115037
muP_3,4,1,50106,0.0006956767,0.0005311312,0.0016514435
muP_3,4,10,50106,0.006930004,0.0052852854,0.016493373
muP_3,4,100,50106,0.06768519,0.050831016,0.16375774
muP_3,4,1,336425,0.0015293448,0.0013583504,0.0027232468
muP_3,4,10,336425,0.015318459,0.013560973,0.027229717
muP_3,4,100,336425,0.1562408,0.13267712,0.27191758
muP_3,4,1,353684,0.0007232343,0.00067257875,0.0017333701
muP_3,4,10,353684,0.007233245,0.006723189,0.017337814
muP_3,4,100,353684,0.07373433,0.0677713,0.17503577
muP_3,4,1,193540,0.0013645292,0.0012013217,0.0024221092
muP_3,4,10,193540,0.013570566,0.01195657,0.024154186
muP_3,4,100,193540,0.1293515,0.11341571,0.23493694
muP_3,4,1,602244,0.0009889135,0.0007407696,0.0018914565
muP_3,4,10,602244,0.009906051,0.007406948,0.018924627
muP_3,4,100,602244,0.10114732,0.07408338,0.190431
muP_3,4,1,766957,0.00091218203,0.0008689976,0.00208579
muP_3,4,10,766957,0.009138241,0.0087028295,0.02088049
muP_3,4,100,766957,0.09506933,0.089473166,0.21315148
muP_3,4,1,727321,0.000940703,0.0008705534,0.0018760227
muP_3,4,10,727321,0.009396517,0.008690468,0.018747155
muP_3,4,100,727321,0.093834616,0.085745215,0.18721887
muP_3,4,1,652854,0.00079511,0.0006513411,0.0016979873
muP_3,4,10,652854,0.007989668,0.0065359725,0.017009884
muP_3,4,100,652854,0.084125355,0.06770294,0.17343967
muP_3,4,1,277072,0.0008779224,0.0007472395,0.0017849207
muP_3,4,10,277072,0.00873312,0.00742659,0.017799214
muP_3,4,100,277072,0.08312518,0.06995177,0.17371684
muP_3,4,1,995542,0.0013254945,0.0010240979,0.0022728443
muP_3,4,10,995542,0.013213542,0.010213345,0.022690684
muP_3,4,100,995542,0.12795532,0.0989616,0.22270912
muP_3,8,1,50106,0.0008355557,0.00070446415,0.0018097162
muP_3,8,10,50106,0.008373616,0.00705235,0.01810874
muP_3,8,100,50106,0.08658076,0.07185008,0.18323404
muP_3,8,1,336425,0.0012910932,0.0011201551,0.0021817237
muP_3,8,10,336425,0.01293165,0.01121757,0.021836832
muP_3,8,100,336425,0.13238643,0.11327223,0.22053733
muP_3,8,1,353684,0.0006882906,0.00058124,0.0017220452
muP_3,8,10,353684,0.006862982,0.0057981564,0.017205022
muP_3,8,100,353684,0.067791566,0.057343323,0.17156892
muP_3,8,1,193540,0.0013269369,0.0009943584,0.0022141114
muP_3,8,10,193540,0.013155314,0.009868543,0.022054076
muP_3,8,100,193540,0.12127493,0.09131835,0.21225768
muP_3,8,1,602244,0.0011120569,0.00093645894,0.0020045117
muP_3,8,10,602244,0.0110849,0.009338462,0.020012427
muP_3,8,100,602244,0.10790439,0.09068564,0.19716264
muP_3,8,1,766957,0.0008153992,0.00071650685,0.0018632263
muP_3,8,10,766957,0.008184639,0.0071866056,0.018669516
muP_3,8,100,766957,0.08645998,0.07504692,0.19209342
muP_3,8,1,727321,0.00086199056,0.0007710103,0.001863122
muP_3,8,10,727321,0.008609095,0.0076964963,0.018619258
muP_3,8,100,727321,0.08608764,0.076049566,0.18588264
muP_3,8,1,652854,0.0009040159,0.0007699291,0.0018295198
muP_3,8,10,652854,0.009026212,0.007680352,0.018276833
muP_3,8,100,652854,0.09054995,0.0758024,0.18218975
muP_3,8,1,277072,0.0006960779,0.0005723044,0.0015999675
muP_3,8,10,277072,0.0070016086,0.005753123,0.01603406
muP_3,8,100,277072,0.074566744,0.060747925,0.16423556
muP_3,8,1,995542,0.0011630275,0.00094429107,0.0020614266
muP_3,8,10,995542,0.011624131,0.009447548,0.020609595
muP_3,8,100,995542,0.11526186,0.09432206,0.2055104
muP_3,16,1,50106,0.0008588818,0.0007640411,0.0018544197
muP_3,16,10,50106,0.008611154,0.007661803,0.018563975
muP_3,16,100,50106,0.089431554,0.07923847,0.18867876
muP_3,16,1,336425,0.0011709742,0.0009775581,0.0021070838
muP_3,16,10,336425,0.011673345,0.0097397,0.021043181
muP_3,16,100,336425,0.11671942,0.096021086,0.21019164
muP_3,16,1,353684,0.00079647655,0.00074620656,0.0019129254
muP_3,16,10,353684,0.007952717,0.0074489503,0.019118268
muP_3,16,100,353684,0.07899458,0.07332576,0.19092166
muP_3,16,1,193540,0.0014003172,0.0011346054,0.0024595633
muP_3,16,10,193540,0.01399518,0.011346738,0.024585634
muP_3,16,100,193540,0.1396439,0.11306717,0.24473304
muP_3,16,1,602244,0.0012168582,0.0010905174,0.0022480935
muP_3,16,10,602244,0.012126788,0.010864255,0.022439849
muP_3,16,100,602244,0.11861971,0.10483474,0.22139257
muP_3,16,1,766957,0.00078305526,0.0007037947,0.0017587692
muP_3,16,10,766957,0.007810449,0.0070270295,0.01756882
muP_3,16,100,766957,0.07710067,0.069769815,0.17490032
muP_3,16,1,727321,0.0008190043,0.0006725322,0.0017184857
muP_3,16,10,727321,0.008208643,0.0067361863,0.01720009
muP_3,16,100,727321,0.084722385,0.06892581,0.17446601
muP_3,16,1,652854,0.001022847,0.0008507624,0.0019935314
muP_3,16,10,652854,0.010193053,0.008483458,0.019910114
muP_3,16,100,652854,0.09977929,0.082877494,0.19761527
muP_3,16,1,277072,0.0007523867,0.00063963427,0.0016440749
muP_3,16,10,277072,0.0075380495,0.0063989437,0.016449675
muP_3,16,100,277072,0.07755309,0.06461943,0.16606452
muP_3,16,1,995542,0.0011228886,0.0009627677,0.0020049438
muP_3,16,10,995542,0.01126624,0.009655549,0.020081863
muP_3,16,100,995542,0.11685419,0.09911342,0.20421793
muP_3,32,1,50106,0.0008460046,0.000734237,0.0018107109
muP_3,32,10,50106,0.008461178,0.0073502953,0.018112373
muP_3,32,100,50106,0.0858216,0.07466735,0.1824733
muP_3,32,1,336425,0.0011521371,0.0010071826,0.0020573772
muP_3,32,10,336425,0.011496288,0.010048027,0.020546734
muP_3,32,100,336425,0.11254036,0.09738503,0.2026697
muP_3,32,1,353684,0.0007312514,0.0006597758,0.0017793709
muP_3,32,10,353684,0.0073191337,0.0066043558,0.017801285
muP_3,32,100,353684,0.07517222,0.06749135,0.18005995
muP_3,32,1,193540,0.0012626805,0.0010449985,0.0022393987
muP_3,32,10,193540,0.012603577,0.010422475,0.022364892
muP_3,32,100,193540,0.12472676,0.101610765,0.22132304
muP_3,32,1,602244,0.0011627876,0.00095767685,0.0020757206
muP_3,32,10,602244,0.011615533,0.009566285,0.020747248
muP_3,32,100,602244,0.115388006,0.09435202,0.20665127
muP_3,32,1,766957,0.0008555078,0.00077293057,0.0019066148
muP_3,32,10,766957,0.008560244,0.0077306544,0.01907326
muP_3,32,100,766957,0.08810645,0.07863998,0.19327869
muP_3,32,1,727321,0.0009130791,0.00077862066,0.0019002017
muP_3,32,10,727321,0.009148363,0.0077983313,0.01901456
muP_3,32,100,727321,0.09432668,0.07974312,0.19254154
muP_3,32,1,652854,0.0009963599,0.00084822165,0.0019433219
muP_3,32,10,652854,0.00997799,0.008494538,0.019446742
muP_3,32,100,652854,0.10204212,0.0862972,0.19647034
muP_3,32,1,277072,0.0007879143,0.0006724911,0.0017251745
muP_3,32,10,277072,0.00787214,0.0067162015,0.017243044
muP_3,32,100,277072,0.07922825,0.06695707,0.1726141
muP_3,32,1,995542,0.0011404412,0.00097491447,0.0020318478
muP_3,32,10,995542,0.01140255,0.009746246,0.020312686
muP_3,32,100,995542,0.114895806,0.09705137,0.20279986
muP_3,64,1,50106,0.0008670251,0.000754224,0.0018597227
muP_3,64,10,50106,0.008690916,0.0075555923,0.01861597
muP_3,64,100,50106,0.089705616,0.077274635,0.18891555
muP_3,64,1,336425,0.0012715766,0.0011064799,0.0022612698
muP_3,64,10,336425,0.01272005,0.011063492,0.022615083
muP_3,64,100,336425,0.1274432,0.10964769,0.22590216
muP_3,64,1,353684,0.00066515914,0.0005803614,0.0016619377
muP_3,64,10,353684,0.0066507366,0.005801575,0.01661732
muP_3,64,100,353684,0.06743937,0.05844324,0.16692357
muP_3,64,1,193540,0.0013006311,0.0010587983,0.0022697374
muP_3,64,10,193540,0.012971943,0.010559859,0.022660792
muP_3,64,100,193540,0.12693529,0.102616005,0.22318739
muP_3,64,1,602244,0.0011539339,0.0009929149,0.0020616222
muP_3,64,10,602244,0.011541113,0.009932413,0.020613704
muP_3,64,100,602244,0.11591609,0.09918208,0.20600621
muP_3,64,1,766957,0.0007659033,0.00067370455,0.0017350577
muP_3,64,10,766957,0.0076705255,0.006745754,0.017360669
muP_3,64,100,766957,0.07886632,0.06886564,0.17572062
muP_3,64,1,727321,0.0009222948,0.0008150973,0.0019066976
muP_3,64,10,727321,0.009236763,0.008162697,0.01908023
muP_3,64,100,727321,0.094612375,0.08309951,0.19304913
muP_3,64,1,652854,0.0010189723,0.0008831849,0.00198079
muP_3,64,10,652854,0.010207162,0.00884139,0.019821286
muP_3,64,100,652854,0.10498138,0.089767456,0.20048329
muP_3,64,1,277072,0.00085794117,0.0007540187,0.0018374883
muP_3,64,10,277072,0.008586692,0.0075454446,0.018380092
muP_3,64,100,277072,0.08777726,0.07653911,0.18542428
muP_3,64,1,995542,0.0010834835,0.0009116429,0.0019655433
muP_3,64,10,995542,0.0108236,0.009098733,0.019639233
muP_3,64,100,995542,0.10780859,0.089211114,0.19518784
muP_3,128,1,50106,0.0009176936,0.00083154824,0.0019493233
muP_3,128,10,50106,0.00916541,0.00830436,0.019480769
muP_3,128,100,50106,0.09165827,0.082439,0.19458373
muP_3,128,1,336425,0.0013025702,0.0011416832,0.0022917353
muP_3,128,10,336425,0.013006978,0.011398842,0.022897962
muP_3,128,100,336425,0.12887356,0.111657105,0.22719356
muP_3,128,1,353684,0.0006770001,0.00060797925,0.001676104
muP_3,128,10,353684,0.0067746337,0.006084434,0.016765716
muP_3,128,100,353684,0.069173984,0.061910324,0.16910289
muP_3,128,1,193540,0.0012888283,0.001103603,0.0022633933
muP_3,128,10,193540,0.012879255,0.0110303555,0.022623528
muP_3,128,100,193540,0.12808873,0.10893527,0.2249008
